artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood
Tones And I,Fly Away,Fly Away,5ri4zqtWhG07hIuNNDWP76,0.806,0.513,4,-6.208,0.0685,0.217,0,0.217,0.503,124.988,178157,4,Energy
Katy Perry,Never Really Over,Never Really Over,5PYQUBXc7NYeI1obMKSJK0,0.77,0.882,8,-4.792,0.0602,0.194,0,0.316,0.385,99.991,223523,4,Energy
Sigala,Lasting Lover,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.676,0.786,1,-4.529,0.0478,0.197,0,0.0943,0.483,125.983,218359,4,Energy
Carly Rae Jepsen,Kiss,Call Me Maybe,20I6sIOMTCkB6w7ryavxtO,0.783,0.58,7,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400,4,Energy
Shawn Mendes,Shawn Mendes (Deluxe),If I Can't Have You,2bT1PH7Cw3J9p3t7nlXCdh,0.691,0.823,2,-4.197,0.0623,0.487,0,0.134,0.87,123.935,191467,4,Energy
BTS,Butter,Butter,3VqeTFIvhxu3DIe4eZVzGq,0.759,0.459,8,-5.187,0.0948,0.00323,0,0.0906,0.695,109.997,164442,4,Energy
Little Mix,Glory Days (Expanded Edition),Shout Out to My Ex,0ErK6K0kYr0Ow2RkPMhmMs,0.773,0.747,5,-4.061,0.0885,0.0242,8.99e-06,0.109,0.801,126.014,246240,4,Energy
Ava Max,EveryTime I Cry,EveryTime I Cry,0mV43B6pJWRjcM5TmzNe6d,0.727,0.832,9,-4.327,0.0366,0.181,0,0.0615,0.213,127.035,177856,4,Energy
Dua Lipa,Don't Start Now,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4,Energy
Katy Perry,One Of The Boys,Hot N Cold,0iGckQFyv6svOfAbAY9aWJ,0.706,0.841,7,-3.956,0.0418,7.95e-05,0,0.0688,0.861,132.032,220227,4,Energy
Taylor Swift,Fearless (Taylor's Version),You Belong With Me (Taylor’s Version),1qrpoAMXodY6895hGKoUpA,0.632,0.773,6,-4.856,0.0346,0.0623,0,0.0885,0.474,130.033,231124,4,Energy
Taio Cruz,The Rokstarr Hits Collection,Dynamite,2CEgGE6aESpnmtfiZwYlbV,0.751,0.783,4,-3.724,0.0859,0.00379,0,0.036,0.816,119.975,202613,4,Energy
Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,0.734,0.874,8,-3.158,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028,4,Energy
Jennifer Lopez,Love?,On The Floor,3C0nOe05EIt1390bVABLyN,0.73,0.777,3,-5.194,0.0496,0.105,0.000478,0.0691,0.575,130.0,284867,4,Energy
Rita Ora,Only Want You (Sam Feldt Remix),Only Want You - Sam Feldt Remix,2wOVXsIRIoniqipE9I5ZVx,0.578,0.786,9,-4.665,0.13,0.232,0.000106,0.122,0.347,105.945,179151,4,Energy
Katy Perry,Teenage Dream,Firework,1mXuMM6zjPgjL4asbBsgnt,0.638,0.832,8,-5.039,0.049,0.141,0,0.113,0.648,124.071,227893,4,Energy
Kesha,Animal (Expanded Edition),TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,0.755,0.837,2,-2.718,0.142,0.0991,0,0.289,0.714,120.028,199693,4,Energy
Lil Nas X,MONTERO,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0.22,0.00614,0,0.0486,0.546,87.981,143901,4,Energy
5 Seconds of Summer,5 Seconds Of Summer,She Looks So Perfect,1CQ2cMfrmFM1YdfmjENKVE,0.494,0.951,9,-4.237,0.132,0.000569,0,0.327,0.441,160.025,202496,4,Energy
Taylor Swift,Bad Blood,Bad Blood,6xsEAm6w9oMQYYg3jkEkMT,0.654,0.655,11,-7.388,0.106,0.0294,0,0.139,0.221,170.16,200107,4,Energy
Pitbull,Global Warming: Meltdown (Deluxe Version),Feel This Moment (feat. Christina Aguilera),0Hf4aIJpsN4Os2f0y0VqWl,0.673,0.758,7,-3.632,0.158,0.039,0,0.341,0.542,135.956,229507,4,Energy
Drew Sycamore,I Wanna Be Dancing,I Wanna Be Dancing,0UkjMIfspaFG1TE0Op75sy,0.764,0.793,8,-5.466,0.067,0.0281,0.00174,0.317,0.831,123.013,160953,4,Energy
Ellie Goulding,Brightest Blue,Sixteen,6p6KdVpfKtTMisH5VfWqsL,0.677,0.802,8,-5.539,0.139,0.261,0,0.0705,0.539,109.918,201227,4,Energy
Lady Gaga,Born This Way (International Special Edition Version),Born This Way,30XU4suKzCeoCK9YFzdufg,0.587,0.828,11,-5.108,0.161,0.00327,0,0.331,0.494,123.907,260253,4,Energy
Owl City,The Midsummer Station,Good Time,1kPpge9JDLpcj15qgrPbYX,0.56,0.872,3,-4.269,0.14,0.0239,6.98e-06,0.371,0.682,126.05,205933,4,Energy
Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Part Of Me,1nZzRJbFvCEct3uzu04ZoL,0.678,0.918,5,-4.63,0.0355,0.000417,0,0.0744,0.769,130.028,216160,4,Energy
P!nk,Raise Your Glass,Raise Your Glass,1gv4xPanImH17bKZ9rOveR,0.7,0.709,7,-5.006,0.0838,0.0048,0,0.029,0.624,122.019,202960,4,Energy
Ariana Grande,My Everything (Deluxe),Bang Bang,466s1BacUmiRdR3ISvNjyx,0.703,0.747,0,-4.446,0.0895,0.283,0,0.396,0.7,149.974,199320,4,Energy
5 Seconds of Summer,Youngblood,Youngblood,55S2PQgSMYAhgoTCcGCDfw,0.596,0.854,7,-5.114,0.463,0.0169,0,0.124,0.152,120.274,203418,4,Energy
Maroon 5,V,Maps,4gbVRS8gloEluzf0GzDOFc,0.742,0.713,1,-5.522,0.0303,0.0205,0,0.059,0.879,120.032,189960,4,Energy
Shawn Mendes,Illuminate (Deluxe),There's Nothing Holdin' Me Back,7JJmb5XwzOO8jgpou264Ml,0.866,0.813,11,-4.063,0.0554,0.38,0,0.0779,0.969,121.998,199440,4,Energy
Mabel,Ivy To Roses (Mixtape),Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,0.674,0.881,9,-2.853,0.147,0.296,3.01e-06,0.0793,0.234,98.994,178480,4,Energy
One Direction,Take Me Home: Yearbook Edition,Live While We're Young,6aGjEZ7kq3YXgD0EDt80O5,0.658,0.837,2,-2.063,0.0543,0.0629,0,0.0969,0.936,126.015,200187,4,Energy
Rihanna,Good Girl Gone Bad: Reloaded,Don't Stop The Music,0ByMNEPAPpOR5H69DVrTNy,0.835,0.669,6,-5.582,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668,267080,4,Energy
Maroon 5,Hands All Over (Revised International Standard version),"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",7pYfyrMNPn3wtoCyqcTVoI,0.722,0.761,11,-4.459,0.0475,0.0117,0,0.315,0.624,128.044,201493,4,Energy
Topic,Chain My Heart,Chain My Heart,67lbzVADsqJJ6tyVk0XCgn,0.663,0.849,11,-4.462,0.0334,0.0791,1.2e-06,0.192,0.722,123.992,146880,4,Energy
MEDUZA,Paradise,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,0.632,0.595,8,-7.644,0.0401,0.0689,0,0.209,0.435,124.114,167903,4,Energy
Ariana Grande,My Everything (Deluxe),Break Free,12KUFSHFgT0XCoiSlvdQi4,0.687,0.702,7,-5.324,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,214840,4,Energy
Lady Gaga,The Fame Monster (Deluxe Edition),Bad Romance,0SiywuOBRcynK0uKGWdCnn,0.696,0.921,0,-3.755,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573,4,Energy
Rihanna,Loud,Only Girl (In The World),0AH6WMe3OlAlUb5miXt2FQ,0.789,0.716,11,-4.241,0.0432,0.129,1.07e-05,0.069,0.611,125.906,235493,4,Energy
Bruno Mars,Doo-Wops & Hooligans,Marry You,6SKwQghsR8AISlxhcwyA9R,0.62,0.832,10,-4.848,0.036,0.332,0,0.104,0.481,144.926,230120,4,Energy
The Wanted,Battleground (Deluxe Edition),Glad You Came,5yDL13y5giogKs2fSNf7sj,0.722,0.851,7,-3.873,0.0639,0.0319,0,0.108,0.452,126.885,197936,4,Energy
One Direction,Take Me Home: Yearbook Edition,Kiss You,0AkQbXGN4KG34TS7xLrM68,0.63,0.934,4,-2.559,0.0589,0.0186,0,0.324,0.905,89.992,182960,4,Energy
Cheat Codes,Never Love You Again (with Little Big Town & Bryn Christopher),Never Love You Again (with Little Big Town & Bryn Christopher),676tQQmFrilCR8L7kxRcGd,0.645,0.786,1,-5.337,0.0554,0.0343,3.57e-06,0.139,0.597,124.962,191329,4,Energy
Hailee Steinfeld,HAIZ,Love Myself,4Y6IdA3e4wwLrbKHDjufaC,0.616,0.765,0,-6.75,0.078,0.0029,0,0.149,0.343,122.916,218773,4,Energy
Avicii,The Days / Nights,The Nights,0ct6r3EGTcMLPtrXHDvVjc,0.527,0.835,6,-5.298,0.0433,0.0166,0,0.249,0.654,125.983,176658,4,Energy
Katy Perry,Teenage Dream,California Gurls,3f7gYMirBEKuc57218BjOY,0.788,0.753,0,-3.71,0.0536,0.0038,0,0.18,0.403,125.005,234653,4,Energy
Usher,Raymond v Raymond (Expanded Edition),DJ Got Us Fallin' In Love (feat. Pitbull),4356Typ82hUiFAynbLYbPn,0.663,0.861,7,-3.398,0.109,0.0338,0,0.082,0.654,119.963,220800,4,Energy
The Vamps,Meet The Vamps,Can We Dance,2kqAtjOtQPAR0OiYUJR43k,0.64,0.82,1,-4.729,0.0464,0.00312,0,0.189,0.583,130.108,192711,4,Energy
Ed Sheeran,÷ (Deluxe),Galway Girl,0afhq8XCExXpqazXczTSve,0.624,0.876,9,-3.374,0.1,0.0735,0,0.327,0.781,99.943,170827,4,Energy
Hot Shade,Dive,Dive,0Npijoc6ZcUe1devUugKvI,0.654,0.787,4,-4.999,0.0502,0.00515,0,0.144,0.409,123.978,164490,4,Energy
Sigala,Came Here for Love,Came Here for Love,3kGfazcbVvVkuZunzlLgTD,0.708,0.868,6,-3.287,0.0431,0.0313,0,0.122,0.72,124.994,202999,4,Energy
Rihanna,Talk That Talk,We Found Love,0U10zFw4GlBacOy9VDGfGL,0.735,0.766,1,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.985,215227,4,Energy
Katy Perry,Teenage Dream,The One That Got Away,4uQY80TKE1u4ZQZQKHzVEi,0.691,0.795,1,-4.021,0.0355,0.000812,1.02e-06,0.156,0.876,133.971,227333,4,Energy
Lady Gaga,Born This Way (International Special Edition Version),The Edge Of Glory,57F80059mWaWFvWG3tBTbO,0.583,0.768,9,-6.477,0.041,0.000323,0.0162,0.109,0.357,127.952,320547,4,Energy
Dermot Kennedy,Giants,Giants,0l4AReW2LuX0yStPfgQgSR,0.579,0.839,8,-5.409,0.0703,0.0145,3.04e-05,0.201,0.589,158.141,177173,4,Energy
Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],I Gotta Feeling,4kLLWz7srcuLKA7Et40PQR,0.743,0.766,0,-6.375,0.0265,0.0873,0,0.509,0.61,127.96,289133,4,Energy
Britney Spears,In The Zone,Toxic,6I9VzXrHxO9rA9A5euc8Ak,0.774,0.838,5,-3.914,0.114,0.0249,0.025,0.242,0.924,143.04,198800,4,Energy
Shawn Mendes,Handwritten,Stitches,3zkWCteF82vJwv0hRLba76,0.746,0.754,1,-6.684,0.0676,0.0152,0,0.0486,0.746,149.882,206880,4,Energy
Jessie J,Alive (Deluxe Edition),Sexy Lady,60YqDe8UqfRaSFZ6TvPI9u,0.71,0.841,9,-7.082,0.0466,0.00542,1.56e-05,0.0712,0.942,127.989,193507,4,Energy
Avicii,True,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,0.532,0.783,2,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,4,Energy
Dua Lipa,Dua Lipa (Deluxe),New Rules,2ekn2ttSfGqwhhate0LSR0,0.762,0.7,9,-6.021,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,209320,4,Energy
Beyoncé,I AM...SASHA FIERCE,Single Ladies (Put a Ring on It),5R9a4t5t5O0IsznsrKPVro,0.426,0.584,1,-5.293,0.296,0.0383,0,0.188,0.272,193.437,193213,4,Energy
Lady Gaga,Chromatica,Stupid Love,7yBbV2k2S2uhaQc24NF2xt,0.68,0.825,8,-4.296,0.0702,0.00173,0.000122,0.27,0.784,117.987,193533,4,Energy
Silk City,New Love,New Love (feat. Ellie Goulding),5iEI2hHcG8bnKmUelPk08F,0.786,0.732,7,-6.664,0.0421,0.0547,2.47e-06,0.342,0.631,123.982,190680,4,Energy
Rihanna,Good Girl Gone Bad: Reloaded,Disturbia,2VOomzT6VavJOGBeySqaMc,0.707,0.813,11,-4.515,0.0571,0.0863,0,0.168,0.722,124.921,238627,4,Energy
Jess Glynne,I Cry When I Laugh,Don't Be so Hard on Yourself,0sUyqewVzwv0e5tK3hS6vJ,0.571,0.815,6,-3.267,0.0321,0.0608,0,0.163,0.664,120.008,211460,4,Energy
Maroon 5,V,Animals,2bL2gyO6kBdLkNSkxXNh6x,0.279,0.742,4,-6.46,0.0898,0.000185,0,0.593,0.328,189.868,231013,4,Energy
Loreen,Heal,Euphoria,2knr7ikPt4l7bk92qS4ZXW,0.518,0.679,11,-5.406,0.0355,0.079,4.85e-05,0.0588,0.106,132.146,214133,4,Energy
Sheppard,Geronimo,Geronimo,2Pavqy0vPxGilGe0IIetdP,0.707,0.771,7,-6.275,0.0783,0.434,0.0013,0.115,0.437,142.016,218228,4,Energy
Shawn Mendes,Handwritten,I Know What You Did Last Summer,2GyA33q5rti5IxkMQemRDH,0.687,0.761,9,-4.582,0.0876,0.102,0,0.147,0.743,113.939,223853,4,Energy
DNCE,DNCE,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC,0.774,0.753,4,-5.446,0.0517,0.152,0,0.0371,0.896,119.002,219147,4,Energy
P!nk,Funhouse (Expanded Edition),So What,0JiY190vktuhSGN6aqJdrt,0.534,0.87,11,-3.078,0.0425,0.000334,0,0.241,0.462,126.019,215160,4,Energy
Carly Rae Jepsen,Cut To The Feeling,Cut To The Feeling,6EJiVf7U0p1BBfs0qqeb1f,0.71,0.909,2,-2.777,0.0639,0.0135,0.00123,0.303,0.648,115.001,207960,4,Energy
Flo Rida,Wild Ones,Wild Ones (feat. Sia),1NpW5kyvO4XrNJ3rnfcNy3,0.608,0.86,5,-5.324,0.0554,0.0991,0,0.262,0.437,127.075,232947,4,Energy
Spice Girls,Spice,Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,0.768,0.864,11,-6.145,0.0324,0.101,0,0.162,0.891,110.008,173027,4,Energy
Tiësto,The London Sessions,Ritual,0FEk8LwY8h4rAR63ggfhV0,0.647,0.726,3,-4.389,0.0552,0.157,0,0.0844,0.769,114.998,198996,4,Energy
Riton,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,4cG7HUWYHBV6R6tHn1gxrl,0.824,0.862,2,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98,169153,4,Energy
Majestic,Rasputin,Rasputin,0b18g3G5spr4ZCkz7Y6Q0Q,0.758,0.913,6,-2.926,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210,4,Energy
Ella Henderson,Chapter One (Deluxe Version),Ghost,4XPWKmy05Rcff6TLHNoNF8,0.68,0.84,9,-3.823,0.0414,0.0457,8.66e-06,0.143,0.468,104.975,213213,4,Energy
Jonas Blue,What I Like About You (feat. Theresa Rex),What I Like About You (feat. Theresa Rex),4NSW0Km5ZG60L8FthUebPJ,0.46,0.8,1,-3.584,0.05,0.289,6.16e-06,0.121,0.553,102.46,220396,4,Energy
Ed Sheeran,÷ (Deluxe),Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,0.461,0.834,2,-4.868,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154,4,Energy
Flo Rida,Only One Flo (Part 1),Club Can't Handle Me (feat. David Guetta),6ebkx7Q5tTxrCxKq4GYj0Y,0.616,0.869,0,-3.911,0.0327,0.0283,0,0.064,0.473,127.966,234560,4,Energy
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,0.72,0.763,9,-4.068,0.0523,0.406,0,0.18,0.742,101.965,251088,4,Energy
Ariana Grande,My Everything (Deluxe),Problem,7vS3Y0IKjde7Xg85LWIEdP,0.66,0.805,1,-5.352,0.153,0.0192,8.83e-06,0.159,0.625,103.008,193920,4,Energy
Sigala,We Got Love,We Got Love,35mMXfym6C9VOTUVrcKKZp,0.722,0.812,9,-3.352,0.0924,0.0205,2.51e-05,0.131,0.657,124.909,213041,4,Energy
Saint Motel,saintmotelevision,Sweet Talk,6kcHg7XL6SKyPNd78daRBL,0.67,0.843,1,-4.311,0.0454,0.0392,0,0.225,0.713,117.01,192040,4,Energy
Bad Suns,Disappear Here,Daft Pretty Boys,58hbLmAfFQA4zbxcbRCO4P,0.665,0.823,8,-5.686,0.059,0.048,0,0.0927,0.672,136.992,187013,4,Energy
Wallows,Nothing Happens,Remember When,5naar7XewEOAjOywIp6Jjq,0.504,0.708,11,-5.896,0.0343,0.00112,0.000424,0.788,0.51,82.009,155147,4,Energy
Colony House,When I Was Younger,Silhouettes,612JlaWJl5l6VIrcBck5QB,0.479,0.759,8,-6.82,0.0385,0.0137,0,0.093,0.574,164.997,177773,4,Energy
The Wombats,Glitterbug,Pink Lemonade,2QqfM19xb0tcmf9gOONcW7,0.56,0.956,0,-4.366,0.0776,0.00406,1.55e-06,0.358,0.821,143.993,226107,4,Energy
The Lumineers,Cleopatra,Cleopatra,5bzf1xrbqr1ttjAJuRz2xY,0.536,0.775,8,-6.765,0.0394,0.228,0.000143,0.0947,0.485,151.393,201413,4,Energy
Grouplove,Never Trust a Happy Song,Tongue Tied,0GO8y8jQk1PkHzS31d699N,0.56,0.936,3,-5.835,0.0439,0.00847,0,0.161,0.371,112.96,218013,4,Energy
Bleachers,Strange Desire,Rollercoaster,5L95vS64rG1YMIFm1hLjyZ,0.421,0.79,10,-6.227,0.0538,0.00205,0.000309,0.148,0.279,162.024,188867,4,Energy
Saint Motel,My Type EP,Cold Cold Man,6RKGBcDtgzXx21zUjpeu6F,0.613,0.661,9,-4.984,0.0263,0.00652,0,0.0976,0.509,110.978,230773,4,Energy
Young the Giant,Young The Giant (Special Edition),Cough Syrup,1UqhkbzB1kuFwt2iy4h29Q,0.534,0.721,11,-7.307,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,249520,3,Energy
Vance Joy,Nation of Two,Saturday Sun,2RiBogNRfulkNf7fVbPOrJ,0.637,0.864,8,-4.381,0.0468,0.484,0,0.222,0.706,99.995,214720,4,Energy
Grouplove,Spreading Rumours,Raspberry,1F5A4LpF8ylUVtPoMAvNvn,0.492,0.779,3,-5.022,0.0498,0.0292,0,0.129,0.445,104.966,196027,4,Energy
Wallows,Nothing Happens,Scrawny,1pNUmVxDiE8t6P1XxcZAv8,0.639,0.816,6,-5.28,0.0485,0.000985,0.0604,0.141,0.802,138.008,166520,4,Energy
Neon Trees,Picture Show,Everybody Talks,2iUmqdfGZcHIhS3b9E9EWq,0.471,0.924,8,-3.906,0.0586,0.00301,0,0.313,0.725,154.961,177280,4,Energy
Vistas,Retrospect,Retrospect - Single Version,1YlOdKPa0LBTqOnFAxWPLQ,0.414,0.896,1,-4.128,0.085,0.000277,8.29e-05,0.365,0.498,159.054,204004,4,Energy
Bleachers,Strange Desire,I Wanna Get Better,1BwhFXqoIsePt21WyWIttb,0.446,0.915,9,-6.221,0.141,0.00281,3.87e-05,0.218,0.398,190.013,204520,4,Energy
Lord Huron,Strange Trails,Meet Me In the Woods,54hj06Z7sm7DaHSrGGMAZG,0.543,0.926,6,-6.759,0.0446,0.387,0.456,0.0667,0.604,80.501,262209,1,Energy
Circa Waves,Young Chasers (Deluxe),T-Shirt Weather,1uNH7kknB8MVkmh6FfDb6W,0.415,0.95,4,-4.676,0.0621,0.00126,3.86e-05,0.133,0.552,160.017,194288,4,Energy
The Wombats,Beautiful People Will Ruin Your Life,Turn,11IJA30efHAJLO3qroPh5L,0.531,0.847,1,-3.907,0.0529,0.00743,0,0.0916,0.38,105.03,207679,4,Energy
Two Door Cinema Club,Tourist History,Undercover Martyn,6GQLX6Z28fYwDNCrhaKzYF,0.446,0.871,2,-4.902,0.116,0.000252,8.13e-06,0.0996,0.612,159.863,166573,4,Energy
Wallows,Pleaser,Pleaser,11zf7m4vw9Ze7cer9Nyhk1,0.497,0.914,9,-4.308,0.0455,0.126,1.98e-05,0.274,0.385,148.893,187896,4,Energy
Sea Girls,All I Want To Hear You Say,All I Want To Hear You Say,3X5PSHyFEfkkbIncpslasP,0.551,0.835,1,-6.883,0.0496,0.00127,0,0.321,0.541,123.946,189774,4,Energy
WALK THE MOON,Walk The Moon,Anna Sun,3e0yTP5trHBBVvV32jwXqF,0.472,0.844,10,-6.578,0.054,0.00173,0,0.24,0.34,140.034,321280,4,Energy
Bleachers,Gone Now,Don't Take The Money,3ySU5vwQB33iGulwcUL9qQ,0.63,0.885,1,-5.674,0.0406,0.000397,1.37e-06,0.206,0.289,110.072,215547,4,Energy
Vistas,Calm,Calm,5mLTKuS2yHKBgxvm4Jn27a,0.518,0.835,0,-4.142,0.0389,0.0109,0.000192,0.098,0.838,156.343,208761,4,Energy
Sjowgren,Seventeen,Seventeen,4gsR34XSIE2fUY4odwZqym,0.612,0.725,7,-5.602,0.0416,0.305,0.0784,0.0548,0.333,146.008,225667,4,Energy
Lorde,Melodrama,Supercut,6K8VQ84MqhsoakN5MjrnVR,0.562,0.437,0,-10.229,0.052,0.219,2.18e-05,0.0806,0.15,124.852,277506,4,Energy
Two Door Cinema Club,Tourist History,What You Know,4JHg4nNYUJQ5HULcCmI18R,0.549,0.754,6,-4.011,0.0407,0.000675,6.24e-06,0.0912,0.828,139.052,189693,4,Energy
BØRNS,Candy,Seeing Stars,7HwoUfASF7xwt4vFEhkQF3,0.638,0.893,6,-4.21,0.059,0.0534,0,0.258,0.904,91.981,189453,4,Energy
Blossoms,Your Girlfriend,Your Girlfriend,1f36D2fxgU2Mk1TxS7WhjG,0.672,0.865,2,-4.83,0.0362,0.0401,2.31e-06,0.0996,0.886,119.997,161293,4,Energy
Catfish and the Bottlemen,The Balcony,Kathleen,1MHYAqWWdDRePmnqORynrq,0.489,0.892,11,-4.757,0.0786,0.000369,0.00293,0.411,0.598,137.93,160886,4,Energy
The Mowgli's,Waiting For The Dawn,San Francisco,2eQOMQkStoRUQyq6HGh1iG,0.307,0.847,11,-4.215,0.0551,0.0215,0,0.0783,0.34,93.072,173093,4,Energy
Rex Orange County,Apricot Princess,Television / So Far So Good,5OUTFH5acycdnf8OVo21Gv,0.405,0.505,5,-7.75,0.0458,0.592,0,0.121,0.318,164.971,262600,4,Energy
half•alive,"Now, Not Yet",still feel.,48XkVAagIoQHCsOlJtXUd5,0.779,0.516,10,-6.467,0.0521,0.148,0,0.0492,0.715,120.026,247787,4,Energy
girl in red,bad idea!,bad idea!,1M4Ud66z18wuIq3oOxqVHa,0.511,0.806,1,-6.093,0.0481,0.03,0.0465,0.252,0.41,162.04,219638,4,Energy
beabadoobee,She Plays Bass,She Plays Bass,52zzYSu7RUsSFn8cZlVjWp,0.447,0.89,9,-3.823,0.047,0.000147,0.021,0.101,0.269,136.066,207106,4,Energy
Bombay Bicycle Club,"Eat, Sleep, Wake (Nothing But You)","Eat, Sleep, Wake (Nothing But You) - Single Version",30Ih2VLYmGIWameeQeyaDr,0.6,0.821,1,-7.956,0.0266,5.12e-05,0.77,0.519,0.287,117.013,218493,4,Energy
Two Door Cinema Club,Changing Of The Seasons,Changing of the Seasons,6SlZp9UeLRIuw92j96dcjU,0.542,0.869,2,-4.429,0.135,5.21e-05,0.000222,0.115,0.592,130.021,222880,4,Energy
Mt. Joy,Mt. Joy,Silver Lining,0i5QVxsK3IvEDbUjTA64Li,0.541,0.616,0,-6.53,0.028,0.00114,1.09e-06,0.151,0.203,144.218,198600,4,Energy
Alvvays,Alvvays,"Archie, Marry Me",5GAB1X0AJq2EZjxXP9zMFt,0.267,0.828,7,-4.592,0.0746,0.00956,0.409,0.143,0.203,117.886,196560,4,Energy
boy pablo,Soy Pablo,Feeling Lonely,5uIRujGRZv5t4fGKkUTv4n,0.633,0.537,6,-10.45,0.0544,0.0141,3.72e-05,0.103,0.889,117.907,197947,4,Energy
Lonely God,Marlboro Nights,Marlboro Nights,755inykyaG4w22GWAsA3MX,0.466,0.823,2,-6.635,0.311,0.00237,0.000321,0.332,0.782,175.797,68523,4,Energy
